Session,Date,Distance,Duration,Passengers,Amount,Tip,Cancel,Shared,Conversation,Type,DOW,Month,RequestTime,PickupTime,EndTime,GapTime,GapAction,StartLocation,GasUsage,Wage
1,2019-06-19T00:00:00Z,4.78,24,2,6.49,0,FALSE,TRUE,FALSE,Student,3,6,17.616666666666667,17.766666666666666,18.016666666666666,9,Idle,La Jolla Shores,0.2999999999999998,16.225
1,2019-06-19T00:00:00Z,1.32,13.8,1,3,0,FALSE,TRUE,FALSE,Business,3,6,18.033333333333335,18.116666666666667,18.266666666666666,6,Inference,Eastgate,0.1999999999999993,13.043478260869565
1,2019-06-19T00:00:00Z,1.81,17.5,1,3,1,FALSE,TRUE,TRUE,Student,3,6,18.4,18.466666666666665,18.55,12,Inference,UTC,0.1200000000000001,13.714285714285714
2,2019-06-20T00:00:00Z,2.66,15.72,2,3.7,2,FALSE,FALSE,TRUE,Tourist,4,6,13.633333333333333,13.75,13.9,7,Idle,Scripps,0.22999999999999954,21.755725190839694
2,2019-06-20T00:00:00Z,10.65,52.37,1,11.98,0,FALSE,TRUE,TRUE,Student,4,6,14.316666666666666,14.4,14.766666666666667,30,Inference,Bird Rock,0.5399999999999991,13.725415314111135
2,2019-06-20T00:00:00Z,1.7,20.7,1,4.25,0,FALSE,TRUE,FALSE,Business,4,6,14.9,15.033333333333333,15.1,16,Inference,Eastgate,0.1899999999999995,12.318840579710145
2,2019-06-20T00:00:00Z,14.59,40.57,1,17.53,0,FALSE,FALSE,FALSE,Business,4,6,15.1,15.183333333333334,15.766666666666667,5,None,Eastgate,0.6699999999999999,25.92556075918166
3,2019-06-20T00:00:00Z,2.21,9.25,1,3.3,0,FALSE,TRUE,FALSE,Student,4,6,21.316666666666666,21.333333333333332,21.483333333333334,1,Random,UCSD,0.17999999999999972,21.405405405405407
3,2019-06-20T00:00:00Z,33.67,55.74,2,16.69,0,FALSE,TRUE,TRUE,Mix,4,6,21.616666666666667,21.666666666666668,22.15,11,Idle,UTC,1.1400000000000006,17.965554359526372
4,2019-06-21T00:00:00Z,12.75,33.3,3,12.89,0,FALSE,FALSE,FALSE,Family,5,6,13.166666666666666,13.383333333333333,13.716666666666667,13,Idle,UCSD,0.5400000000000009,23.22522522522523
4,2019-06-21T00:00:00Z,6.61,19.3,1,7.76,0,FALSE,FALSE,FALSE,Business,5,6,13.666666666666666,13.783333333333333,14.033333333333333,4,None,MIssion Valley,0.29999999999999893,24.124352331606218
4,2019-06-21T00:00:00Z,3.57,18.78,1,5.21,2,FALSE,TRUE,FALSE,Pedestrian,5,6,14.05,14.133333333333333,14.35,6,Idle,Logan Heights,0.2599999999999998,23.035143769968048
4,2019-06-21T00:00:00Z,29.15,79,1,14.22,2.9,FALSE,FALSE,FALSE,Business,5,6,14.35,14.383333333333333,14.9,2,Idle,Gaslamp,1.3900000000000006,13.002531645569622
